method,total_parameters,parameter_memory_kb_fp32,approx_madds_per_sample,latency_ms_per_sample,throughput_samples_per_sec,mean_total_inference_time_sec,std_total_inference_time_sec,accuracy,balanced_accuracy,f1_macro,f1_weighted,roc_auc_ovr,average_precision_macro,weighted_f1_per_ms,auc_per_ms,weighted_f1_per_1000_params,auc_per_1000_params,ap_per_ms
Static_Equal_Cooperation,2528,9.875,2308,0.0098153142820275,101881.60778825668,0.015459119994193315,0.0001833025956198024,0.7307936507936508,0.5276736326935514,0.509601468338706,0.6948854983999225,0.8888904113508077,0.5890738717599895,70.79605180572817,90.56158425598512,0.2748755927214883,0.35161804246471823,60.01579316096106
Experiment1_Learned_Nash,2528,9.875,2308,0.009752101590117765,102541.99987142712,0.01535956000443548,0.00013888590963370915,0.7371428571428571,0.5241771204158897,0.49624714377169493,0.6844550626048906,0.874983187704576,0.5857805438170255,70.18539094162834,89.72252592110351,0.2707496291949726,0.3461167672882025,60.067108448769936
PSO_Adaptive_Cooperation,2528,9.875,2308,0.009854984129705126,101471.49775571696,0.015521600004285574,0.00015619709364701436,0.7276190476190476,0.5295184212013335,0.5138266941035722,0.6969568722128359,0.8880050235159004,0.5859818714914322,70.7212576945763,90.10719975075908,0.27569496527406484,0.35126780993508716,59.460458157933694
ACO_Adaptive_Cooperation,2528,9.875,2308,0.009768863489467,102366.05323415785,0.015385959995910525,0.0001631314496295061,0.7288888888888889,0.5335491577354605,0.5188415100889636,0.7009522522039565,0.8870943643270036,0.5853995174224067,71.75371556371304,90.80834892241947,0.2772754162199195,0.35090758082555523,59.9250381637124
BCO_Adaptive_Cooperation,2528,9.875,2308,0.009929193649441006,100713.11279705963,0.015638479997869582,0.0003728513194391509,0.7295238095238096,0.5315312388163719,0.5162017576525626,0.6993277884962718,0.887700428056563,0.585528621679379,70.43147844494327,89.40307334085874,0.2766328277279556,0.3511473212249063,58.97041012110215
HHO_Adaptive_Cooperation,2528,9.875,2308,0.010056330157177789,99439.85374090384,0.01583871999755502,0.00026494247480929225,0.7288888888888889,0.530810777721271,0.5152238832765816,0.6983924641759944,0.8879586201701992,0.5862435570710292,69.44804449141033,88.29847531769941,0.27626284184176997,0.3512494541812497,58.29597357169036
Hybrid_Swarm_Cooperation,2528,9.875,2308,0.009822425395545979,101807.84884896701,0.015470319997984917,0.00018963432352434712,0.7295238095238096,0.5308528438592857,0.5150922559088005,0.698358544579664,0.8878368313392943,0.5858953643188913,71.09838114895102,90.38875792753669,0.2762494242799304,0.3512012782196575,59.64874669188815
