,precision,recall,f1-score,support
0,0.8944954128440367,0.9558823529411765,0.9241706161137441,612.0
1,0.0,0.0,0.0,76.0
2,0.6237623762376238,0.9333333333333333,0.7477744807121661,540.0
3,0.6371681415929203,0.207492795389049,0.3130434782608696,347.0
accuracy,0.7371428571428571,0.7371428571428571,0.7371428571428571,0.7371428571428571
macro avg,0.5388564826686452,0.5241771204158897,0.49624714377169493,1575.0
weighted avg,0.7018160133089592,0.7371428571428571,0.6844550626048906,1575.0
