cycle_label,cycle_code,component,file_code,description,url,filename,selected_for_download
2017-March_2020_PrePandemic,2017-2020,Examination,P_BMX,2017-2020 Body Measures P_BMX Doc P_BMX Data [XPT - 2.4 MB] May 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_BMX.xpt,P_BMX.xpt,True
2017-March_2020_PrePandemic,2017-2020,Examination,P_BPXO,2017-2020 Blood Pressure - Oscillometric Measurement P_BPXO Doc P_BPXO Data [XPT - 1015.5 KB] May 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_BPXO.xpt,P_BPXO.xpt,True
2017-March_2020_PrePandemic,2017-2020,Examination,P_DXXFEM,2017-2020 Dual-Energy X-ray Absorptiometry - Femur P_DXXFEM Doc P_DXXFEM Data [XPT - 721.1 KB] September 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DXXFEM.xpt,P_DXXFEM.xpt,False
2017-March_2020_PrePandemic,2017-2020,Examination,P_DXXSPN,2017-2020 Dual-Energy X-ray Absorptiometry - Spine P_DXXSPN Doc P_DXXSPN Data [XPT - 865.2 KB] September 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DXXSPN.xpt,P_DXXSPN.xpt,False
2017-March_2020_PrePandemic,2017-2020,Examination,P_LUX,2017-2020 Liver Ultrasound Transient Elastography P_LUX Doc P_LUX Data [XPT - 1.1 MB] January 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_LUX.xpt,P_LUX.xpt,False
2017-March_2020_PrePandemic,2017-2020,Examination,P_OHXDEN,2017-2020 Oral Health - Dentition P_OHXDEN Doc P_OHXDEN Data [XPT - 14.7 MB] Updated June 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_OHXDEN.xpt,P_OHXDEN.xpt,False
2017-March_2020_PrePandemic,2017-2020,Examination,P_OHXREF,2017-2020 Oral Health - Recommendation of Care P_OHXREF Doc P_OHXREF Data [XPT - 1.3 MB] May 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_OHXREF.xpt,P_OHXREF.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_ALB_CR,2017-2020 Albumin & Creatinine - Urine P_ALB_CR Doc P_ALB_CR Data [XPT - 816 KB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_ALB_CR.xpt,P_ALB_CR.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_BIOPRO,2017-2020 Standard Biochemistry Profile P_BIOPRO Doc P_BIOPRO Data [XPT - 3.3 MB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_BIOPRO.xpt,P_BIOPRO.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_CBC,2017-2020 Complete Blood Count with 5-Part Differential in Whole Blood P_CBC Doc P_CBC Data [XPT - 2.3 MB] June 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_CBC.xpt,P_CBC.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_CMV,2017-2020 Cytomegalovirus IgG & IgM Antibodies - Serum P_CMV Doc P_CMV Data [XPT - 50.5 KB] August 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_CMV.xpt,P_CMV.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_COT,2017-2020 Cotinine and Hydroxycotinine - Serum P_COT Doc P_COT Data [XPT - 510.3 KB] July 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_COT.xpt,P_COT.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_CRCO,2017-2020 Chromium & Cobalt P_CRCO Doc P_CRCO Data [XPT - 327.1 KB] November 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_CRCO.xpt,P_CRCO.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_ETHOX,2017-2020 Ethylene Oxide P_ETHOX Doc P_ETHOX Data [XPT - 128.2 KB] February 2023,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_ETHOX.xpt,P_ETHOX.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_FASTQX,2017-2020 Fasting Questionnaire P_FASTQX Doc P_FASTQX Data [XPT - 2 MB] May 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_FASTQX.xpt,P_FASTQX.xpt,False
