attribute,num_subgroups,min_f1_macro,max_f1_macro,f1_macro_gap,min_balanced_accuracy,max_balanced_accuracy,balanced_accuracy_gap
age,4,0.45220660961115605,0.5296859010434394,0.07747929143228333,0.5010063090508635,0.5494801083322879,0.04847379928142437
education,4,0.4575563639433799,0.5264995458913035,0.06894318194792365,0.5026418789573817,0.5490384615384616,0.046396582581079926
income_poverty_ratio,4,0.441459543029788,0.5284550446122169,0.08699550158242891,0.49855025225327365,0.5474585204079095,0.04890826815463589
race_ethnicity,4,0.43827169229245233,0.5391493551870911,0.10087766289463873,0.4823155216284987,0.5736111111111111,0.09129558948261235
sex,2,0.44616457872099047,0.5270818211102759,0.08091724238928544,0.4894545908215973,0.5478298153601776,0.058375224538580295
