attribute,num_subgroups,min_f1_weighted,max_f1_weighted,f1_weighted_gap,min_binary_f1,max_binary_f1,binary_f1_gap
age,4,0.19661178716296826,0.23249189158649125,0.03588010442352299,1.0,1.0,0.0
disability_stage,2,0.0,0.9998601594182632,0.9998601594182632,0.0,1.0,1.0
education,4,0.12267657992565056,0.24281636475918886,0.1201397848335383,1.0,1.0,0.0
income_poverty_ratio,4,0.17509399440361334,0.23765272758561348,0.06255873318200014,1.0,1.0,0.0
race_ethnicity,4,0.13514302393461763,0.23958950069074403,0.1044464767561264,1.0,1.0,0.0
sex,2,0.17163516427755932,0.24760471117580887,0.07596954689824956,1.0,1.0,0.0
