method,accuracy_gain_vs_learned_nash,accuracy_gain_vs_static_equal,balanced_accuracy_gain_vs_learned_nash,balanced_accuracy_gain_vs_static_equal,f1_macro_gain_vs_learned_nash,f1_macro_gain_vs_static_equal,f1_weighted_gain_vs_learned_nash,f1_weighted_gain_vs_static_equal,roc_auc_ovr_gain_vs_learned_nash,roc_auc_ovr_gain_vs_static_equal,average_precision_macro_gain_vs_learned_nash,average_precision_macro_gain_vs_static_equal,objective_score_gain_vs_learned_nash,objective_score_gain_vs_static_equal
Static_Equal_Cooperation,-0.006349206349206327,0.0,0.0034965122776616786,0.0,0.013354324567011078,0.0,0.01043043579503189,0.0,0.013907223646231759,0.0,0.0032933279429639972,0.0,0.010699110155274694,0.0
Experiment1_Learned_Nash,0.0,0.006349206349206327,0.0,-0.0034965122776616786,0.0,-0.013354324567011078,0.0,-0.01043043579503189,0.0,-0.013907223646231759,0.0,-0.0032933279429639972,0.0,-0.010699110155274694
PSO_Adaptive_Cooperation,-0.00952380952380949,-0.0031746031746031633,0.005341300785443814,0.0018447885077821358,0.017579550331877247,0.0042252257648661695,0.012501809607945225,0.0020713738129133352,0.013021835811324434,-0.0008853878349073252,0.00020132767440672605,-0.003092000268557271,0.012013378123217455,0.0013142679679427616
ACO_Adaptive_Cooperation,-0.00825396825396818,-0.0019047619047618536,0.009372037319570814,0.005875525041909135,0.022594366317268688,0.00924004175025761,0.016497189599065876,0.006066753804033986,0.012111176622427666,-0.0017960470238040926,-0.0003810263946187886,-0.003674354337582786,0.014451631109073992,0.0037525209537992987
BCO_Adaptive_Cooperation,-0.007619047619047525,-0.0012698412698411987,0.007354118400482168,0.0038576061228204894,0.019954613880867667,0.006600289313856589,0.014872725891381111,0.004442290096349222,0.01271724035198707,-0.0011899832942446897,-0.0002519221376464653,-0.0035452500806104625,0.01337686765283641,0.002677757497561717
HHO_Adaptive_Cooperation,-0.00825396825396818,-0.0019047619047618536,0.006633657305381346,0.0031371450277196677,0.018976739504886708,0.0056224149378756305,0.013937401571103791,0.003506965776071902,0.012975432465623271,-0.0009317911806084878,0.00046301325400366355,-0.0028303146889603337,0.012895864221108555,0.0021967540658338613
Hybrid_Swarm_Cooperation,-0.007619047619047525,-0.0012698412698411987,0.006675723443395953,0.0031792111657342748,0.018845112137105546,0.005490787570094469,0.013903481974773313,0.0034730461797414236,0.012853643634718304,-0.0010535800115134553,0.00011482050186584214,-0.003178507441098155,0.012831731373828537,0.002132621218553843
