,precision,recall,f1-score,support
0,1.0,0.9997203579418344,0.9998601594182632,3576.0
1,0.0,0.0,0.0,13283.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
accuracy,0.2120529094252328,0.2120529094252328,0.2120529094252328,0.2120529094252328
macro avg,0.25,0.2499300894854586,0.2499650398545658,16859.0
weighted avg,0.21211222492437273,0.2120529094252328,0.21208256302744585,16859.0
