,precision,recall,f1-score,support
0,0.8905109489051095,0.9967320261437909,0.9406322282189669,612.0
1,0.0,0.0,0.0,76.0
2,0.6492890995260664,0.7611111111111111,0.7007672634271099,540.0
3,0.48638132295719844,0.36023054755043227,0.4139072847682119,347.0
accuracy,0.7276190476190476,0.7276190476190476,0.7276190476190476,0.7276190476190476
macro avg,0.5065453428470936,0.5295184212013335,0.5138266941035722,1575.0
weighted avg,0.6757988149461275,0.7276190476190476,0.6969568722128359,1575.0
