method,weight_entropy,max_weight,min_weight,weight_std,effective_number_of_teams,dominant_team
Static_Equal_Cooperation,1.6094379124291003,0.2,0.2,0.0,4.9999999999749996,behavioral
Experiment1_Learned_Nash,1.2984352111816406,0.5581792593002319,0.10526955872774124,0.17914184397343527,3.663559483134231,demographic_fairness
PSO_Adaptive_Cooperation,1.5609238050778056,0.3026421487305552,0.11700866303327864,0.06259565033147493,4.7632194996205985,physiological
ACO_Adaptive_Cooperation,1.5920184562273525,0.2564332973598314,0.15079225266336244,0.03738907101721376,4.91365692695524,functional_disability
BCO_Adaptive_Cooperation,1.5855400306057603,0.2671328096205453,0.1500313845005047,0.04404595164197885,4.881927056800968,physiological
HHO_Adaptive_Cooperation,1.5947683252197882,0.2458803393982585,0.1609738395834068,0.034314935506478864,4.927187434813923,physiological
Hybrid_Swarm_Cooperation,1.5460822117503712,0.32233187778536565,0.10844127285553279,0.07199363445783015,4.693047751227391,physiological
