split,loss,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,mean_prediction_confidence,roc_auc,average_precision
validation,0.4973147087248545,0.7644444444444445,0.525967370549253,0.5262629337647708,0.525967370549253,0.5030048433259582,0.7057164332932793,0.7644444444444445,0.7137758059797493,0.6478357621510795,0.735632614654208,0.8866489550992616,0.5822670327895714
test,0.5135584739276341,0.7390476190476191,0.5212629416159675,0.5189994925460042,0.5212629416159675,0.48853272568768796,0.6844813605079387,0.7390476190476191,0.680316495737268,0.622751514370891,0.7366255722159432,0.8905273138111105,0.5903387937711719
