total_samples,mean_total_inference_time_sec,std_total_inference_time_sec,latency_ms_per_sample,throughput_samples_per_sec,batch_size,policy
1575,0.5319927249947796,0.0063096537740102085,0.33777315872684416,2960.5668010130316,1,ACO_Adaptive_Cooperation
1575,0.14552767500572372,0.0019142652540465128,0.09239852381315793,10822.683726226327,4,ACO_Adaptive_Cooperation
1575,0.07944522499747109,0.0009345765315157328,0.05044141269680704,19824.980041911087,8,ACO_Adaptive_Cooperation
1575,0.043763749999925494,0.0008470356178055672,0.02778650793646063,35988.689269148126,16,ACO_Adaptive_Cooperation
1575,0.028304574996582232,0.00028209881697685715,0.01797115872798872,55644.71468623644,32,ACO_Adaptive_Cooperation
1575,0.019737174996407703,0.0007334058892560329,0.01253153968025886,79798.65407722536,64,ACO_Adaptive_Cooperation
1575,0.015426425001351163,0.00035875961404166647,0.009794555556413438,102097.53717157732,128,ACO_Adaptive_Cooperation
1575,0.012989974988158792,0.000400316320022466,0.008247603167084947,121247.34662196925,256,ACO_Adaptive_Cooperation
1575,0.02480887499405071,0.02106532030162297,0.01575166666288934,63485.34548131234,512,ACO_Adaptive_Cooperation
