method,behavioral,demographic_fairness,functional_disability,nutritional_metabolic,physiological,weight_entropy,max_weight,min_weight,hybrid_source
Static_Equal_Cooperation,0.2,0.2,0.2,0.2,0.2,1.6094379124291003,0.2,0.2,
Experiment1_Learned_Nash,0.10713696479797363,0.5581792593002319,0.10526955872774124,0.11782585829496384,0.11158829182386398,1.2984352111816406,0.5581792593002319,0.10526955872774124,
PSO_Adaptive_Cooperation,0.18614763675498666,0.16580057187170433,0.22840097960947514,0.11700866303327864,0.3026421487305552,1.5609238050778056,0.3026421487305552,0.11700866303327864,
ACO_Adaptive_Cooperation,0.19567072348292835,0.17246875689886998,0.2564332973598314,0.15079225266336244,0.224634969595008,1.5920184562273525,0.2564332973598314,0.15079225266336244,
BCO_Adaptive_Cooperation,0.18854834487017072,0.1500313845005047,0.23284454045092481,0.1614429205578543,0.2671328096205453,1.5855400306057603,0.2671328096205453,0.1500313845005047,
HHO_Adaptive_Cooperation,0.19388092911233365,0.16630217417624518,0.23296271772975582,0.1609738395834068,0.2458803393982585,1.5947683252197882,0.2458803393982585,0.1609738395834068,
Hybrid_Swarm_Cooperation,0.1832942580886109,0.15988079755498186,0.22605179371550876,0.10844127285553279,0.32233187778536565,1.5460822117503712,0.32233187778536565,0.10844127285553279,PSO
