epoch,train_loss,train_prediction_loss,train_diversity_loss,train_cost_loss,train_entropy_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_weighted,val_roc_auc,val_average_precision
1,1.231095835341452,1.2294086440434535,0.9600066226556165,125.75177504834974,-1.6077251512836577,1.0858798942868673,0.7561904761904762,0.4970622698359558,0.3853995455468172,0.4970622698359558,0.4316334581522624,0.6584738217194478,0.7963620559386749,0.5117487626699393
2,0.9576334050114033,0.9566564173710753,0.8760148086163735,168.49417446674758,-1.5903315206728332,0.7907923458492945,0.7606349206349207,0.5004098015032205,0.6379993074803608,0.5004098015032205,0.43570418897793556,0.6634879734640581,0.8619086058377908,0.5460024379676113
3,0.6969951889777382,0.6964369111198003,0.8048179343794946,198.3919213596437,-1.5376581831811513,0.591324974090334,0.765079365079365,0.5095333033808829,0.5476690353143842,0.5095333033808829,0.45996607474178747,0.6827264259007205,0.8807419540585891,0.5740277946345882
4,0.5734536645201246,0.5729094998076394,0.769096931927479,215.02326382304685,-1.4723662670688056,0.5270737019417778,0.765079365079365,0.5091500056160845,0.5501672017482329,0.5091500056160845,0.4586855961204662,0.6817781438360622,0.883167566848928,0.5783647508258066
5,0.5343482998507836,0.5337509498140053,0.746250745828078,224.40328167448044,-1.417910539287988,0.5071535284557039,0.766984126984127,0.5154259800067393,0.5427689097855513,0.5154259800067393,0.4751197953059,0.6943735585794565,0.8846479536882531,0.5791662889874802
6,0.5190243208906345,0.5183610489683453,0.7292100941993733,230.01616278666674,-1.371768839392699,0.49937577296817115,0.7657142857142857,0.5214632708075929,0.5300432961704846,0.5214632708075929,0.49226930005650127,0.706495436674148,0.8855596139431543,0.5808080013385387
7,0.5123030231232253,0.5116158627558605,0.7109283657848697,235.9354797562607,-1.331611448282254,0.4973147087248545,0.7644444444444445,0.525967370549253,0.5262629337647708,0.525967370549253,0.5030048433259582,0.7137758059797493,0.8866489550992616,0.5822670327895714
8,0.5083024552126679,0.5076275266933026,0.6924592490211801,239.92492235603908,-1.2979170053017222,0.4928396175021217,0.7644444444444445,0.5183014152532854,0.5274348406322491,0.5183014152532854,0.48602733906876827,0.7016492616076363,0.887166143716615,0.58306444962034
9,0.5047351057382811,0.5040506523455839,0.6757394301192196,243.77153705924462,-1.2633418962896754,0.4910645385394021,0.7625396825396825,0.5166250140402112,0.5220266759510945,0.5166250140402112,0.48400738061924115,0.6996732505339708,0.8876454781353031,0.5834049806830297
10,0.5049315711676239,0.5042192679405991,0.6610905109805986,246.64024810853306,-1.229048195201891,0.4899927624823555,0.7638095238095238,0.5194035718297203,0.5252460717221993,0.5194035718297203,0.48936729585312516,0.7038836834952656,0.887943612922207,0.5830211410841731
11,0.5019907081495387,0.5012819356765207,0.6442947057270325,249.8828653295862,-1.1968114589700765,0.48972667902235,0.7644444444444445,0.5209844996068741,0.5266551287288572,0.5209844996068741,0.49240592174255005,0.7062411883472728,0.8881733111777603,0.582848612515159
12,0.5006558215566226,0.4999349563604213,0.6290937044341834,252.61205723931602,-1.164536898226004,0.4889162784531003,0.7593650793650794,0.5125533528024262,0.512656148444064,0.5125533528024262,0.47739810467290317,0.694034721147371,0.8883517867985631,0.5828727267872196
13,0.49922032766819713,0.4985042178058222,0.6122587266901364,255.99791495468133,-1.1324957080853522,0.48880034866787136,0.7619047619047619,0.5173438728518477,0.5203483631426448,0.5173438728518477,0.4864537513821157,0.7012634374319026,0.8884053266125919,0.5828596643879015
14,0.49887315696365153,0.49812846627263313,0.598115450225731,258.68413721536973,-1.099029165495819,0.48926917412924387,0.76,0.5160507694035719,0.5156271718791767,0.5160507694035719,0.48537173274822,0.6999598946304287,0.8887045200934856,0.5836054717132854
15,0.49839522772410205,0.49764902229324653,0.5828785861506885,261.8286250206966,-1.068882159674828,0.48844228929943506,0.76,0.5095347074019994,0.5129728490134614,0.5095347074019994,0.46825597184527024,0.6875452494616241,0.8888262323915821,0.5832804265317361
