method,internal_accuracy,internal_balanced_accuracy,internal_precision_macro,internal_recall_macro,internal_f1_macro,internal_precision_weighted,internal_recall_weighted,internal_f1_weighted,internal_mcc,internal_mean_prediction_confidence,internal_roc_auc_ovr,internal_average_precision_macro,internal_binary_accuracy_merge01_vs_23,internal_binary_balanced_accuracy_merge01_vs_23,internal_binary_precision_merge01_vs_23,internal_binary_recall_merge01_vs_23,internal_binary_f1_merge01_vs_23,internal_binary_roc_auc_merge01_vs_23,internal_binary_average_precision_merge01_vs_23,external_accuracy,external_balanced_accuracy,external_precision_macro,external_recall_macro,external_f1_macro,external_precision_weighted,external_recall_weighted,external_f1_weighted,external_mcc,external_mean_prediction_confidence,external_binary_accuracy_merge01_vs_23,external_binary_balanced_accuracy_merge01_vs_23,external_binary_precision_merge01_vs_23,external_binary_recall_merge01_vs_23,external_binary_f1_merge01_vs_23,external_binary_roc_auc_merge01_vs_23,external_binary_average_precision_merge01_vs_23,accuracy_external_minus_internal,balanced_accuracy_external_minus_internal,f1_macro_external_minus_internal,f1_weighted_external_minus_internal,binary_accuracy_merge01_vs_23_external_minus_internal,binary_balanced_accuracy_merge01_vs_23_external_minus_internal,binary_f1_merge01_vs_23_external_minus_internal,binary_roc_auc_merge01_vs_23_external_minus_internal
Static_Equal_Cooperation,0.7307936507936508,0.5276736326935514,0.5079325973971002,0.5276736326935514,0.509601468338706,0.676565216546128,0.7307936507936508,0.6948854983999225,0.5978851609506908,0.6512455940246582,0.8888904113508077,0.5890738717599895,0.9955555555555555,0.9949127906976745,0.9921700223713646,1.0,0.99606962380685,1.0,0.9999999999999999,0.2105700219467347,0.4963646532438479,0.25,0.24818232662192394,0.24908784731967443,0.21211222492437273,0.2105700219467347,0.21133830998639438,0.4090326916840107,0.6131144165992737,0.9984577970223619,0.9963646532438479,0.9980464347434067,1.0,0.9990222623345367,1.0,1.0,-0.5202236288469161,-0.03130897944970351,-0.2605136210190316,-0.4835471884135282,0.002902241466806399,0.0014518625461734658,0.0029526385276866796,0.0
Experiment1_Learned_Nash,0.7371428571428571,0.5241771204158897,0.5388564826686452,0.5241771204158897,0.49624714377169493,0.7018160133089592,0.7371428571428571,0.6844550626048906,0.6225786063774696,0.5795589685440063,0.874983187704576,0.5857805438170255,0.9784126984126984,0.9752906976744187,0.9630836047774158,1.0,0.9811946902654868,1.0,0.9999999999999999,0.211103861438994,0.49762304250559286,0.25,0.24881152125279643,0.2494043447792572,0.21211222492437273,0.211103861438994,0.21160684190773443,0.4390850939469937,0.5680537223815918,0.9989916365146213,0.9976230425055929,0.9987218045112782,1.0,0.9993604935485084,0.9999985052634096,0.9999995972151887,-0.5260389957038631,-0.026554077910296847,-0.24684279899243775,-0.4728482206971562,0.020578938101922906,0.02233234483117419,0.018165803283021642,-1.4947365903905663e-06
PSO_Adaptive_Cooperation,0.7276190476190476,0.5295184212013335,0.5065453428470936,0.5295184212013335,0.5138266941035722,0.6757988149461275,0.7276190476190476,0.6969568722128359,0.5912075848820737,0.7029117345809937,0.8880050235159004,0.5859818714914322,0.9980952380952381,0.9978197674418605,0.996629213483146,1.0,0.9983117613956106,1.0,0.9999999999999999,0.2120529094252328,0.4998601789709172,0.25,0.2499300894854586,0.2499650398545658,0.21211222492437273,0.2120529094252328,0.21208256302744585,0.4026773855860038,0.6614473462104797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5155661381938148,-0.0296582422304163,-0.26386165424900637,-0.48487430918539,0.0019047619047618536,0.0021802325581394832,0.0016882386043893804,0.0
ACO_Adaptive_Cooperation,0.7288888888888889,0.5335491577354605,0.5098141658436884,0.5335491577354605,0.5188415100889636,0.6796820946083152,0.7288888888888889,0.7009522522039565,0.5929166628579571,0.6676977872848511,0.8870943643270036,0.5853995174224067,0.9949206349206349,0.9941860465116279,0.9910614525139665,1.0,0.9955106621773289,1.0,0.9999999999999999,0.21092591494157423,0.49720357941834453,0.25,0.24860178970917227,0.249298934380258,0.21211222492437273,0.21092591494157423,0.2115174065706869,0.3975106643997904,0.6258665919303894,0.9988136900172015,0.9972035794183445,0.9984965797188604,1.0,0.9992477243662078,1.0,0.9999999999999999,-0.5179629739473147,-0.03634557831711599,-0.26954257570870566,-0.4894348456332696,0.0038930550965666777,0.00301753290671658,0.0037370621888789257,0.0
BCO_Adaptive_Cooperation,0.7295238095238096,0.5315312388163719,0.5093376515750038,0.5315312388163719,0.5162017576525626,0.6786599941536196,0.7295238095238096,0.6993277884962718,0.5942276906343109,0.6873794198036194,0.887700428056563,0.585528621679379,0.9974603174603175,0.997093023255814,0.9955106621773289,1.0,0.9977502812148481,1.0,0.9999999999999999,0.21199359392609288,0.49972035794183445,0.25,0.24986017897091722,0.24993006993006994,0.21211222492437273,0.21199359392609288,0.2120528928334848,0.4025859554354436,0.6461190581321716,0.9998813690017202,0.9997203579418344,0.999849454271735,1.0,0.9999247214694369,1.0,1.0,-0.5175302155977167,-0.03181088087453743,-0.26627168772249266,-0.4872748956627869,0.002421051541402708,0.0026273346860204994,0.002174440254588794,0.0
HHO_Adaptive_Cooperation,0.7288888888888889,0.530810777721271,0.5081078035568745,0.530810777721271,0.5152238832765816,0.6774501535463094,0.7288888888888889,0.6983924641759944,0.5932089587451551,0.6782989501953125,0.8879586201701992,0.5862435570710292,0.9968253968253968,0.9963662790697674,0.9943946188340808,1.0,0.9971894322653176,1.0,0.9999999999999999,0.21169701643039326,0.49902125279642057,0.25,0.24951062639821028,0.2497550734779566,0.21211222492437273,0.21169701643039326,0.2119044172862383,0.40281255203287425,0.6371013522148132,0.9995847915060205,0.9990212527964206,0.9994732881866065,1.0,0.9997365747186995,1.0,1.0,-0.5171918724584956,-0.03178952492485049,-0.265468809798625,-0.4864880468897561,0.0027593946806236946,0.0026549737266532425,0.0025471424533818343,0.0
Hybrid_Swarm_Cooperation,0.7295238095238096,0.5308528438592857,0.5084597343199784,0.5308528438592857,0.5150922559088005,0.6774299869229673,0.7295238095238096,0.698358544579664,0.5941897672713669,0.708928644657135,0.8878368313392943,0.5858953643188913,0.9993650793650793,0.9992732558139534,0.9988738738738738,1.0,0.9994366197183099,1.0,0.9999999999999999,0.21211222492437273,0.5,0.25,0.25,0.25,0.21211222492437273,0.21211222492437273,0.21211222492437273,0.40274714716163895,0.6675885319709778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5174115845994368,-0.03085284385928566,-0.2650922559088005,-0.4862463196552912,0.0006349206349206549,0.0007267441860465684,0.0005633802816901179,0.0
