method,behavioral,demographic_fairness,functional_disability,nutritional_metabolic,physiological
Static_Equal_Cooperation,0.2,0.2,0.2,0.2,0.2
Experiment1_Learned_Nash,0.10713696479797363,0.5581792593002319,0.10526955872774124,0.11782585829496384,0.11158829182386398
PSO_Adaptive_Cooperation,0.18614763675498663,0.16580057187170433,0.22840097960947517,0.11700866303327863,0.3026421487305553
ACO_Adaptive_Cooperation,0.1956707234829283,0.1724687568988699,0.2564332973598314,0.1507922526633624,0.224634969595008
BCO_Adaptive_Cooperation,0.18854834487017075,0.15003138450050477,0.23284454045092487,0.16144292055785436,0.2671328096205454
HHO_Adaptive_Cooperation,0.19388092911233365,0.16630217417624513,0.23296271772975585,0.16097383958340683,0.24588033939825857
Hybrid_Swarm_Cooperation,0.18329425808861094,0.15988079755498183,0.22605179371550876,0.10844127285553273,0.32233187778536565
